full_path,question,answer
/kaggle/input/vrmini2/abo-images-small/images/small/96/966371c0.jpg,What design is featured on the case?,Puppy
/kaggle/input/vrmini2/abo-images-small/images/small/5d/5dfbf575.jpg,How many main flower clusters are visible on the phone case?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/eb/ebbba930.jpg,What type of phone case is shown in the image?,Hard
/kaggle/input/vrmini2/abo-images-small/images/small/08/08a192fa.jpg,What phone model is this case designed for?,J4Plus
/kaggle/input/vrmini2/abo-images-small/images/small/19/19d8f433.jpg,"Considering the metadata, what is the primary material of this phone case?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/f9/f94fb054.jpg,What gemstone simulates diamonds in the design?,Zirconia
/kaggle/input/vrmini2/abo-images-small/images/small/76/761e9f8e.jpg,What color is the Rivet Theresa chair?,Charcoal
/kaggle/input/vrmini2/abo-images-small/images/small/de/def99ef3.jpg,Is the phone case design primarily located on the top or bottom half of the case?,Bottom
/kaggle/input/vrmini2/abo-images-small/images/small/4d/4dfe3841.jpg,What is the total number of towels in the stack?,6
/kaggle/input/vrmini2/abo-images-small/images/small/b8/b838edb9.jpg,What is the primary material of the case?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/ab/abeb12b9.jpg,"Given the image and metadata, what is the approximate weight of the product?",Two
/kaggle/input/vrmini2/abo-images-small/images/small/b5/b5287003.jpg,"Considering the image and metadata, what is the primary design feature of this phone case?",Bridge
/kaggle/input/vrmini2/abo-images-small/images/small/f8/f85a3e23.jpg,What is the brand of this product?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/a6/a60da2b7.jpg,What is the main material composition?,Cotton
/kaggle/input/vrmini2/abo-images-small/images/small/eb/ebee9f55.jpg,How many cutouts are visible for buttons and ports on this Xiaomi Redmi 3S Prime case?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/f9/f9495d9e.jpg,"Given the image and ""3D printed"" description, what is the case's texture likely to be?",Smooth
/kaggle/input/vrmini2/abo-images-small/images/small/79/79bfa8f3.jpg,What color is the metal of the necklace?,Yellow
/kaggle/input/vrmini2/abo-images-small/images/small/5d/5dad4436.jpg,What type of metal appears to be used in the earring's setting?,Gold
/kaggle/input/vrmini2/abo-images-small/images/small/9c/9cd81b9d.jpg,What phone model is this case designed for?,Redmi
/kaggle/input/vrmini2/abo-images-small/images/small/5c/5c8fdb2b.jpg,"Considering the metadata and image, what is the cat tree's size?",X-Large
/kaggle/input/vrmini2/abo-images-small/images/small/de/de5c3467.jpg,How many drawers does the bookcase have?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/07/076642dd.jpg,"Based on the image and metadata, what is the dominant color?",White
/kaggle/input/vrmini2/abo-images-small/images/small/6f/6f6a171b.jpg,Is the heel of this sandal covered or exposed?,Covered
/kaggle/input/vrmini2/abo-images-small/images/small/35/35b56e31.jpg,What is the shape of the sunglasses?,Aviator
/kaggle/input/vrmini2/abo-images-small/images/small/1e/1eee73a8.jpg,What material is the case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/44/44452d61.jpg,What phone model is this case designed for?,OnePlus7T
/kaggle/input/vrmini2/abo-images-small/images/small/bd/bd6bbc42.jpg,What is the shape of the table top?,Half-moon
/kaggle/input/vrmini2/abo-images-small/images/small/74/74b20110.jpg,What is the primary color of the phone case?,Gold
/kaggle/input/vrmini2/abo-images-small/images/small/aa/aa118c95.jpg,What material is the phone case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/85/85225c67.jpg,What is the sandal's style?,Hurrache
